Frequency[microHertz], PSD [ppm^2 per microHertz]
1149.205920592059,0.0001849280202331663
1149.6059605960595,0.0001877736010427454
1150.00600060006,0.0001907132518357115
1150.4060406040603,0.00019375069066525293
1150.8060806080607,0.00019688982891306599
1151.206120612061,0.0002001347832293385
1151.6061606160615,0.0002034898883464215
1152.006200620062,0.00020695971083972223
1152.4062406240623,0.00021054906391637703
1152.8062806280627,0.00021426302332006194
1153.2063206320631,0.00021810694444893624
1153.6063606360635,0.00022208648079328602
1154.006400640064,0.00022620760381009757
1154.4064406440643,0.0002304766243636166
1154.8064806480647,0.00023490021587413946
1155.2065206520651,0.00023948543933197472
1155.6065606560655,0.0002442397703499077
1156.006600660066,0.00024917112844583374
1156.4066406640663,0.000254287908767712
1156.8066806680667,0.0002595990164959645
1157.2067206720671,0.00026511390418419007
